Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
q_raijinPromp,items,Quest - Challenge,,,La furia insesante de un ser superior que provoca un aura electrificante se dirige a ti.
q_berial,items,Quest - Challenge,,,"[6b08c6]Lord of the pride","[6b08c6]El señor del orgullo","[6b08c6]El señor del orgullo"
q_berialPromp,items,Quest - Challenge,,,Un ser con calor tan abrazador que parece que las llamas del mismo infierno estuvieran presentes.
q_vodjaoj,items,Quest - Challenge,,,"[0099ff]Old fairy tale","[0099ff]Viejo cuento de hadas","[0099ff]Viejo cuento de hadas"
q_vodjaojPromp,items,Quest - Challenge,,,Un ser abominante con las victimas que hundio en las profundidades ahora surcan en la superficie.
q_patient0,items,Quest - Challenge,,,"[07F00D]Patient 0","[07F00D]Paciente 0","[07F00D]Paciente 0"
q_patient0Promp,items,Quest - Challenge,,,¡¡¡ULTIMA NOTICIA: ATENCION TODO EL MUNDO ESTO NO ES UN SIMULACRO EL SUJETO ORIGEN DEL VIRUS HA ESCAPADO, HUYAN POR SUS VIDAS!!!
q_jack,items,Quest - Challenge,,,"[213ab3]The Shining","[213ab3]El resplandor","[213ab3]El resplandor"
q_jackPromp,items,Quest - Challenge,,,Un asesino sepultado en la nieve ha revivido deambulando en el exterior, su sola presencia provoca que te paralises del miedo.

q_Taco,items,Quest - Challenge,,,"[1F85DF]The Taco Quest"
TacoQuest,items,Quest - Challenge,,,"Una nota de quest que te pedira buscar y destruir distintos enemigos especiales"
TacoQuest2,items,Quest - Challenge,,,"Felicidades has encontrado una misión que fue dejada por Taco, considérate afortuna por eso, antes que leas esta nota quiero mostrarte los siguiente: Términos y condiciones de la misión.\nHola como estas me presento soy una nota creada por TacoMaestro para esta misión la persona que me lea se hace responsa...
Pero que estoy haciendo a pesar de ya estar programada no puedo olvidar mis modales así primero que nada buenos dias o tardes o noches dependiendo del momento en que me estés leyendo, bueno eso no importa realmente, después de todos solo soy un ítem más de un juego que tarde o temprano saldrá de su versión alpha o eso espero xD.\nBueno perdón por la interrupción a veces soy algo distraído, digo esto de ser una nota no es muy divertido solo estas aquí esperando a que alguien te encuentre y te lean, pero muchas veces ni siquiera leen todo el contenido y solo te utilizan (así como el/ella té utilizo :v), pero bueno es algo molesto que solo te ignoren y solo te usen sin mas, muchas gracias por leerme hasta aquí, Te quiero mucho we, continuemos en donde estaba, como te decía Puto el que lea xD, solo es juego no creas que es cierto, al menos que si fuera cierto entonces no abría problema.\nAhora si continuemos en verdad, para completar esta misión el player tiene que buscar a los enemigos que se le indican y matarlos para lograr completarla\nSi la persona muere durante la misión la perderá yo solo diré F si eso sucede y también suerte a la próxima.
Al completar esta misión el player tendrá que hablar con el vendedor mas cercano a el para recibir sus recompensas por la ayuda.\nY creo que eso era todo o por lo menos lo mas importante que recuerdo, ya por ultimo te quiero agradecer una vez más por haber leído hasta este punto, cuídate mucho y recuerda tomar agua y comer para no morir. Si leíste todo lo anterior mándale un mensaje a Taco en discord con una foto y la palabra escrita Taco Feliz en el mensaje para recibir una recompensa. Esto solo será para la primera persona que lo haga.\nBueno ya para termina solo cabe recalcar que todo lo que acabas de leer un texto sin sentido y gracias por perder tu tiempo Ten un buen día y Puto el que lo lea xD"
KillTaco,items,Quest - Challenge,,,"Encuentra a todos los enemigos y mátalos para completar la misión"
comleteTaco,items,Quest - Challenge,,,"Muy buen trabajo encontrando y eliminando a esos bastardos. \nAdelante elige tu recompensa."

q_HolyVentus,items,Quest - Challenge,,,"[1F85DF]The Ventus Quest"
VentusQuest,items,Quest - Challenge,,,"Esta misión te pide matar a distintos enemigos con la diferencia que tu los tendras que ir buscar."
VentusQuest2,items,Quest - Challenge,,,"Felicidades has encontrado una misión que fue dejada por Ventus, considérate afortuna por eso, antes que leas esta nota quiero mostrarte los siguiente: Términos y condiciones de la misión.\nHola como estas me presento soy una nota creada por TacoMaestro para esta misión la persona que me lea se hace responsa...
Pero que estoy haciendo a pesar de ya estar programada no puedo olvidar mis modales así primero que nada buenos dias o tardes o noches dependiendo del momento en que me estés leyendo, bueno eso no importa realmente, después de todos solo soy un ítem más de un juego que tarde o temprano saldrá de su versión alpha o eso espero xD.\nBueno perdón por la interrupción a veces soy algo distraído, digo esto de ser una nota no es muy divertido solo estas aquí esperando a que alguien te encuentre y te lean, pero muchas veces ni siquiera leen todo el contenido y solo te utilizan (así como el/ella té utilizo :v), pero bueno es algo molesto que solo te ignoren y solo te usen sin mas :(, muchas gracias por leerme hasta aquí, Te quiero mucho we, continuemos en donde estaba, como te decía Puto el que lea xD, solo es juego no creas que es cierto, al menos que si fuera cierto entonces no abría problema.\nAhora si continuemos en verdad, para completar esta misión el player tiene que buscar a los enemigos que se le indican y matarlos para lograr completarla\nSi la persona muere durante la misión la perderá yo solo diré F si eso sucede y también suerte a la próxima.
Al completar esta misión el player tendrá que hablar con el vendedor mas cercano a el para recibir sus recompensas por la ayuda.\nY creo que eso era todo o por lo menos lo mas importante que recuerdo, ya por ultimo te quiero agradecer una vez más por haber leído hasta este punto, cuídate mucho y recuerda tomar agua y comer para no morir. Si leíste todo lo anterior mándale un mensaje a Taco en discord con una foto y la palabra escrita Taco Feliz en el mensaje para recibir una recompensa. Esto solo será para la primera persona que lo haga.\nBueno ya para termina solo cabe recalcar que todo lo que acabas de leer un texto sin sentido y gracias por perder tu tiempo Ten un buen día y Puto el que lo lea xD"
KillVentus,items,Quest - Challenge,,,"Encuentra a todos los enemigos y mátalos para completar la misión"
completeVentus,items,Quest - Challenge,,,"Muy buen trabajo encontrando y eliminando a esos bastardos. \nAdelante elige tu recompensa."

bossCompleteQuestName,quests,Quest - Challenge,,,"Quest complete","Desafio completado","Desafio completado"
bossCompleteDesc,quests,Quest - Challenge,,,"You have completed the challenge, go to the trader to receive your rewards","Has completado el desafío, dirigiste al trader para recibir tus recompensas","Has completado el desafío, dirigiste al trader para recibir tus recompensas"
bossCompleteKey,quests,Quest - Challenge,,,"I can't believe you're still alive! That's awesome. Go ahead take these rewards!","¡No puedo creer siguas con vida!, eso es impresionante adelante toma estas recompensas.!","¡No puedo creer siguas con vida!, eso es impresionante adelante toma estas recompensas.!"

q_Lucky,items,Quest - Challenge,,,"[EA791A]Lucky mission", "[EA791A]Misión de la suerte", "[EA791A]Misión de la suerte"
QuestLucky,items,Quest - Challenge,,,"Esta la misión se asegura como mínimo  un jefe y varios enemigos a tus alrededores"
QuestLucky2,items,Quest - Challenge,,,"En esta misión pueden salirte diferentes enemigos entre ellos un jefe.\n\nBuena Suerte"
q_luckyDesc,items,Quest - Challenge,,,Esta misión te asegura como mínimo uno o mas jefe y una horda de enemigos a tus alrededores 

q_Gacha,items,Quest - Challenge,,,"[9A41C4]Gacha mission", "[9A41C4]Misión de gacha", "[9A41C4]Misión de Gacha"
q_GachaPrem,items,Quest - Challenge,,,"[FFCC00][Premiun] [-][9A41C4]Gacha mission", "[FFCC00][Premiun] [-][9A41C4]Misión de gacha", "[9A41C4]Misión de Gacha"
QuestGacha,items,Quest - Challenge,,,"En la nota te puede salir cualquier enemigo"
QuestGacha2,items,Quest - Challenge,,,"Suerte We :D"
KillGacha,items,Quest - Challenge,,,"En esta nota solo te saldrá un enemigo pero este puede ser cualquier enemigo ten cuidado o talves no"

q_EnemigsRandom,items,Quest - Challenge,,,"[FD65CD]Random Enemigs", "[FD65CD]Enemigos Aleatorios", "[FD65CD]Enemigos Aleatorios"
QuestREnemigs,items,Quest - Challenge,,,"Una misión misteriosa espero y tengas la mejor de la suerte"
QuestREnemigs2,items,Quest - Challenge,,,"En esta Misión pueden salirte diferentes enemigos.\nBuena Suerte"
KillREnemigs,items,Quest - Challenge,,,"Leer esta nota hará que los enemigos aparezcan tus alrededores"
comleteREnemigs,items,Quest - Challenge,,,"Felicidades"

noteTixDescTierII,items,Desc,,,A ticke for an special summoning event Tier II\n• Using this ticket will start an event to hunt down zombies\n• Kill them all to get a reward\n\n[D13A3A]* This ticket can only be used on quest zones[-],Un ticket para un evento especial de convocación Tier II\n• Usar este ticket empezara un evento para cazar zombies\n• Acaba con todos ellos para conseguir recompensas\n\n[D13A3A]* Este ticket solo puede ser usado en zonas de quest[-],Un ticket para un evento especial de convocación Tier II\n• Usar este ticket empezara un evento para cazar zombies\n• Acaba con todos ellos para conseguir recompensas\n\n[D13A3A]* Este ticket solo puede ser usado en zonas de quest[-]
noteTixDescTierIII,items,Desc,,,A ticke for an special summoning event Tier III\n• Using this ticket will start an event to hunt down zombies\n• Kill them all to get a reward\n\n[D13A3A]* This ticket can only be used on quest zones[-],Un ticket para un evento especial de convocación Tier III\n• Usar este ticket empezara un evento para cazar zombies\n• Acaba con todos ellos para conseguir recompensas\n\n[D13A3A]* Este ticket solo puede ser usado en zonas de quest[-],Un ticket para un evento especial de convocación Tier III\n• Usar este ticket empezara un evento para cazar zombies\n• Acaba con todos ellos para conseguir recompensas\n\n[D13A3A]* Este ticket solo puede ser usado en zonas de quest[-]

Questrandom,items,Quest - Challenge,,,"Una misión misteriosa espero y tengas la mejor de la suerte"
Questrandom2,items,Quest - Challenge,,,"En esta Misión pueden salirte diferentes enemigos.\nBuena Suerte"
Killrandom,items,Quest - Challenge,,,"Leer esta nota hará que los enemigos aparezcan tus alrededores"
comleterandom,items,Quest - Challenge,,,"XD"

bossTokenMineral,items,bossToken,,,"[Token] Mineral","[Token] Mineral","[Token] Mineral"
bossTokenJugger,items,bossToken,,,"[Token] Juggernaut","[Token] Juggernaut","[Token] Juggernaut"
bossTokenGadiador,items,bossToken,,,"[Token] Knight","[Token] Caballero","[Token] Caballero"
bossTokenSoldier,items,bossToken,,,"[Token] Soldier","[Token] Soldado","[Token] Soldado"
bossTokenMummy,items,bossToken,,,"[Token] Mummy","[Token] Momia","[Token] Momia"
bossTokenNatu,items,bossToken,,,"[Token] Nature","[Token] Naturaleza","[Token] Naturaleza"
bossTokenNight,items,bossToken,,,"[Token] Nightmare","[Token] Pesadilla","[Token] Pesadilla"
bossTokenCirujano,items,bossToken,,,"[Token] Surgeon","[Token] Cirujana","[Token] Cirujana"
bossTokenSpartan,items,bossToken,,,"[Token] Spartan","[Token] Espartano","[Token] Espartano"
bossTokenMortevoda,items,bossToken,,,"[Token] Vodjanoj","[Token] Vodjanoj","[Token] Vodjanoj"
bossTokenInfernal,items,bossToken,,,"[Token] Berial","[Token] Berial","[Token] Berial"
bossTokenHoarfrost,items,bossToken,,,"[Token] Jack T.","[Token] Jack T.","[Token] Jack T."
bossTokenShocker,items,bossToken,,,"[Token] Raijin","[Token] Raijin","[Token] Raijin"
bossTokenToxic,items,bossToken,,,"[Token] Patient 0","[Token] Paciente 0","[Token] Paciente 0"
bossTokenTerra,items,bossToken,,,"[Token] Gaia","[Token] Gaia","[Token] Gaia"
bossTokenAncient,items,bossToken,,,"[Token] Ancient","[Token] Ancestral","[Token] Ancestral"

bossTokenDesc,items,bossToken,,,"A special token symbol of your victory against a powerfull enemy\n\n▲Can be used to craft Special quest\n★You can get an Ancient Token with the quest Hooligans Force","Un símbolo especial de tu victoria contra un enemigo poderoso\n\n▲Puede usarse para crear una misión especial\n★Token Ancient Puede ser obtenido con la quest Hooligans Force","Un símbolo especial de tu victoria contra un enemigo poderoso\n\n▲Puede usarse para crear una misión especial\n★Token Ancient Puede ser obtenido con la quest Hooligans Force"
questFrag,items,items,,,"Fragmento antiguo"
questfargDesc,items,bossToken,,,"Un extraño fragmento que pertenecia a un antiguo token\n★ Conservalo puede que te sea util ★"


zombieSBRopa,entityclasses,entityclasses,,,Infected Joel,Joel Infectado,Joel Infectado
zombieSpecialWightRainbow,entityclasses,entityclasses,,,Wight Rainbow,Mutacion de Arcoiris,Mutacion de Arcoiris
zombieSpecialCowhead,entityclasses,entityclasses,,,Gozu the Cow Head,Gozu el Cabeza de vaca
zombieSpecialPsycho,entityclasses,entityclasses,,,Psycho,Psicópata
zombieSpecialBanshee,entityclasses,entityclasses,,,Banshee,Alma en pena LOL
zombieSpecialVengeSpirit,entityclasses,entityclasses,,,Vengeance spirit,Espiritu vengativo
zombieSpecialHeadPonky,entityclasses,entityclasses,,,Zombie Ponky
zombiSBMiniSiren,entityclasses,entityclasses,,,Mini Siren,Mini Siren,Mini Siren
zombieMummyDog,entityclasses,entityclasses,,,Mummy Dog,Perro Momia,Perro Momia
zombieSpecialSpiderArmor,entityclasses,entityclasses,,,Armor Spider,Araña Acorazada,Araña Acorazada

TAVOzombieFootballPlayerFeral,entityclasses,entityclasses,,,Football Player Feral,Jugador de Futbol Salvaje,Jugador de Futbol Salvaje
zombieSBBolt,entityclasses,entityclasses,,,Zombie Bolt,Zombie Bolt,Zombie Bolt
zombieGunner,entityclasses,entityclasses,,,Zombie Gunner,Zombie Gunner,Zombie Gunner
zombieNurseFeral,entityclasses,entityclasses,,,Nurse Feral,Enfermera Salvaje,Enfermera Salvaje
ZombieEliteBomber,entityclasses,entityclasses,,,Bomber Elite,Bomber Elite,Bomber Elite
TAVOanimalChickenDemon,entityclasses,entityclasses,,,Chicken Demon,Gallina Endemoniada,Gallina Endemoniada
TAVOanimalChickenDemonFeral,entityclasses,entityclasses,,,Chicken Demon Feral,Gallina Endemoniada Salvaje,Gallina Endemoniada Salvaje
TAVOanimalChickenDemonFeralFUEGO,entityclasses,entityclasses,,,Chicken Fire,Gallina de fuego,Gallina de fuego
TAVOanimalChickenDemonFeralBOLT,entityclasses,entityclasses,,,Chicken Bolt,Gallina Electrica,Gallina Electrica
TAVOanimalChickenDemonFeralBlackChamuscada,entityclasses,entityclasses,,,Burnt Chicken,Gallina quemada,Gallina quemada
TAVOanimalChickenDemonFeralTANK,entityclasses,entityclasses,,,Chicken tank,Gallina tanque,Gallina tanque
TAVOanimalSnakeFeral,entityclasses,entityclasses,,,Giant Snake,Serpiente Gigante,Serpiente Gigante
TAVOANACONDA,entityclasses,entityclasses,,,Anaconda,Anaconda,Anaconda
HellLion,entityclasses,entityclasses,,,Hell Lion,Leon infernal,Leon infernal
TAVOanimalZombieBearLEGENDARY,entityclasses,entityclasses,,,Legendary Bear,Oso Legendario,Oso Legendario
TAVOanimalChickenDemonFeralBOSS,entityclasses,entityclasses,,,Chicken Demon Boss,Chicken Demon Boss,Chicken Demon Boss
nightZombieCop,entityclasses,entityclasses,,,[Nighmer] Fat Cop,[Nighmer] Policia,[Nighmer] Policia
nightZombieSoldier,entityclasses,entityclasses,,,[Nighmer] Soldier,[Nighmer] Soldado,[Nighmer] Soldado
nightZombieHawai,entityclasses,entityclasses,,,[Nighmer] Fat hawaiian,[Nighmer] Gordo hawaiano,[Nighmer] Gordo hawaiano
nightZombieSkater,entityclasses,entityclasses,,,[Nighmer] Skater,[Nighmer] Skater,[Nighmer] Skater
nightZombieFeral,entityclasses,entityclasses,,,[Nighmer] Feral,[Nighmer] Feral,[Nighmer] Feral
nightZombieDemolition,entityclasses,entityclasses,,,[Nighmer] Bomber,[Nighmer] Bomber,[Nighmer] Bomber
nightZombieTom,entityclasses,entityclasses,,,[Nighmer] Tom,[Nighmer] Granjero,[Nighmer] Granjero
nightZombieBurn,entityclasses,entityclasses,,,[Nighmer] Snow,[Nighmer] Leñador congelado,[Nighmer] Leñador congelado
nightZombieSpider,entityclasses,entityclasses,,,[Nighmer] Spider,[Nighmer] Araña,[Nighmer] Araña
nightZombieNurse,entityclasses,entityclasses,,,[Nighmer] Nurse,[Nighmer] Enfermera,[Nighmer] Enfermera
nightZombieHazmat,entityclasses,entityclasses,,,[Nighmer] MaleHazmat,[Nighmer] Anti radiación,[Nighmer] Anti radiación
NighScreamer,entityclasses,entityclasses,,,[Nighmer] Screamer,[Nighmer] Gritona,[Nighmer] Gritona
zombieSpecialVengeSpirit,entityclasses,entityclasses,,,Vengeful Spirit,Espíritu vengativo,Espíritu vengativo
zombieSpecialHeadPonky,entityclasses,entityclasses,,,Zombie Ponky,Zombie Ponky,Zombie Ponky
MiniRopaJoel,entityclasses,entityclasses,,,Litle Joel,Pequeño Joel,Pequeño Joel
zombieSBKnight,entityclasses,entityclasses,,,Knight's apprentice,Aprendiz de caballero,Aprendiz de caballero
BossCrawler,entityclasses,entityclasses,,,Crawler :D,Crawler :D,Crawler :D
BossAngryCrawler,entityclasses,entityclasses,,,Crawler D:<,Crawler D:<,Crawler D:<
HvZombieRevenant,entityclasses,entityclasses,,,Revenant,Revenant,Revenant
HvZombieSpirit,entityclasses,entityclasses,,,Spirit,Espiritu,Espiritu
HvZombieShadow,entityclasses,entityclasses,,,Shadow,Sombra,Sombra


ZombieBossMineralSpider,entityclasses,entityclasses,,,[BOSS] Mineral Spider,[BOSS] Araña Mineral,[BOSS] Araña Mineral
zombieBossSoldier,entityclasses,,,[BOSS] Old General,[BOSS] Viejo General,[BOSS] Viejo General
zombieBossMummy,entityclasses,entityclasses,,,[BOSS] Ancestral Mummy,[BOSS] Momia Ancestral,[BOSS] Momia Ancestral
zombieBossPractoSpider,entityclasses,entityclasses,,,[BOSS] Practonium Spider,[BOSS] Araña Practonium,[BOSS] Araña Practonium
zombieBossSiren,entityclasses,entityclasses,,,[BOSS] Siren Head,[BOSS] Siren Head,[BOSS] Siren Head
zombieBossJuggernaut,entityclasses,entityclasses,,,[BOSS] Juggernaut,[BOSS] Juggernaut,[BOSS] Juggernaut
zombieBossZombieKnight,entityclasses,entityclasses,,,[BOSS] Old Knight,[BOSS] Antiguo caballero,[BOSS] Antiguo caballero
zombieBossSpartan,entityclasses,entityclasses,,,[BOSS] Spartan,[BOSS] Espartano,[BOSS] Espartano
zombieBossCirujano,entityclasses,entityclasses,,,[BOSS] Surgeon,[BOSS] Cirujana,[BOSS]Cirujana
zombieBossCirujanoHorda,entityclasses,entityclasses,,,[FFF000]+++ [BOSS] Surgeon,[FFF000]+++ [BOSS] Cirujana,[FFF000]+++ [BOSS] Cirujana
zombieBossCirujanoHorda,entityclasses,entityclasses,,,[BOSS] Surgeon,[BOSS] Cirujana,[BOSS] Cirujana
zombieBossMortevoda,entityclasses,entityclasses,,,[BOSS] Vodjanoj,[BOSS] Vodjanoj,[BOSS] Vodjanoj
zombieBossInfernal,entityclasses,entityclasses,,,[BOSS] Berial,[BOSS] Berial,[BOSS] Berial
zombieBossHoarfrost,entityclasses,entityclasses,,,[BOSS] Jack T.,[BOSS] Jack T.,[BOSS] Jack T.
zombieBossShocker,entityclasses,entityclasses,,,[BOSS] Raijin,[BOSS] Raijin,[BOSS] Raijin
zombieBossToxic,entityclasses,entityclasses,,,[BOSS] Patient 0,[BOSS] Paciente 0,[BOSS] Paciente 0
zombieBossEarthForest,entityclasses,entityclasses,,,[BOSS] Gaia,[BOSS] Gaia,[BOSS] Gaia
zombieBossEarthBurntForest,entityclasses,entityclasses,,,[BOSS] Gaia,[BOSS] Gaia,[BOSS] Gaia
zombieBossEarthDesert,entityclasses,entityclasses,,,[BOSS] Gaia,[BOSS] Gaia,[BOSS] Gaia
zombieBossEarthSnow,entityclasses,entityclasses,,,[BOSS] Gaia,[BOSS] Gaia,[BOSS] Gaia
zombieBossEarthWasteland,entityclasses,entityclasses,,,[BOSS] Gaia,[BOSS] Gaia,[BOSS] Gaia
zombieBossAdminHF,entityclasses,entityclasses,,,[FFF000][BOSS] Angry Admin,[FFF000][BOSS] Admin Enojado,[FFF000][BOSS] Admin Enojado
zombieBossAvatarHF,entityclasses,entityclasses,,,[FFF000][BOSS] Avatar,[FFF000][BOSS] Avatar,[FFF000][BOSS] Avatar

subBossLootContainer,entityclasses,entityclasses,,, • Mini Boss Loot •, • Mini Jefe Loot •, • Mini Jefe Loot •
MiniRopaLootContainer,entityclasses,entityclasses,,,★ Special Loot ★
SirenLootContainer,entityclasses,entityclasses,,,★ Siren Head Loot ★

BossJuggerLootContainer,entityclasses,entityclasses,,,★ Juggernaut Loot ★
zombieBossZombieKnightLootContainer,entityclasses,entityclasses,,,★ Old Knight Loot ★,★ Antiguo caballero ★,★ Antiguo caballero ★
MineralLootContainer,entityclasses,entityclasses,,,★ Mineral Spider Loot ★,★ Araña Mineral Loot ★,★ Araña Mineral Loot ★
PractoLootContainer,entityclasses,entityclasses,,,★ Practonium Spider Loot ★,★ Araña Practonium Loot ★,★ Araña Practonium Loot ★
zombieBossMummyLootContainer,entityclasses,entityclasses,,,★ Ancestral Mummy Loot ★,★ Momia Ancestral Loot ★,★ Momia Ancestral Loot ★
BossSoldierLootContainer,entityclasses,,,★ Old General Loot ★,★ Viejo General Loot ★,★ Viejo General Loot ★
zombieBossCirujanoLootContainer,entityclasses,entityclasses,,,★ Surgeon Loot ★,★ Cirujano Loot ★,★ Cirujano Loot ★
zombieBossSpartanLootContainer,entityclasses,entityclasses,,,★ Spartan Loot ★,★ Espartano Loot ★,★ Espartano Loot ★
zombieBossMortevodaLootContainer,entityclasses,entityclasses,,,★ Vodjanoj Loot ★,★ Vodjanoj Loot ★,★ Vodjanoj Loot ★
zombieBossInfernalLootContainer,entityclasses,entityclasses,,,★ Berial Loot ★,★ Berial Loot ★,★ Berial Loot ★
zombieBossHoarfrostLootContainer,entityclasses,entityclasses,,,★ Jack T. Loot ★,★ Jack T. Loot ★,★ Jack T. Loot ★
zombieBossShockerLootContainer,entityclasses,entityclasses,,,★ Raijin Loot ★,★ Raijin Loot ★,★ Raijin Loot ★
zombieBossToxicLootContainer,entityclasses,entityclasses,,,★ Patient 0 Loot ★,★ Paciente 0 Loot ★,★ Paciente 0 Loot ★
zombieBossEarthLootContainer,entityclasses,entityclasses,,,★ Gaia Loot ★,★ Gaia Loot ★,★ Gaia Loot ★
BossHFLootContainer,entityclasses,entityclasses,,,★ Angry Admin Loot ★,★ Admin Enojado Loot ★,★ Admin Enojado Loot ★
BossHF2LootContainer,entityclasses,entityclasses,,,★ Avatar Loot ★,★ Avatar Loot ★,★ Avatar Loot ★

zombieSpecialBossSoldier,entityclasses,,,[FFF000]★★★ [Shiny] Old General,[FFF000]★★★ [Shiny] Viejo General,[FFF000]★★★ [Shiny] Viejo General
zombieSpecialBossMummy,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Ancestral Mummy,[FFF000]★★★ [Shiny] Momia Ancestral,[FFF000]★★★ [Shiny] Momia Ancestral
zombieSpecialBossSiren,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Siren Head,[FFF000]★★★ [Shiny] Siren Head,[FFF000]★★★ [Shiny] Siren Head
zombieSpecialBossJuggernaut,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Juggernaut,[FFF000]★★★ [Shiny] Juggernaut,[FFF000]★★★ [Shiny] Juggernaut
zombieSpecialBossKnight,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Old Knight,[FFF000]★★★ [Shiny] Antiguo caballero,[FFF000]★★★ [Shiny] Antiguo caballero
zombieSpecialBossNightSpider,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny]Nightmare Spider,[FFF000]★★★ [Shiny] Araña Pesadilla,[FFF000]★★★ [Shiny] Araña Pesadilla
zombieSpecialBossCirujano,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Surgeon,[FFF000]★★★ [Shiny] Cirujana,[FFF000]★★★ [Shiny] Cirujana
zombieSpecialBossSpartan,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Spartan,[FFF000]★★★ [Shiny] Espartano,[FFF000]★★★ [Shiny] Espartano
zombieSpecialBossMortevoda,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Vodjanoj,[FFF000]★★★ [Shiny] Vodjanoj,[FFF000]★★★ [Shiny] Vodjanoj
zombieSpecialBossInfernal,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Berial,[FFF000]★★★ [Shiny] Berial,[FFF000]★★★ [Shiny] Berial
zombieSpecialBossHoarfrost,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Jack T.,[FFF000]★★★ [Shiny] Jack T.,[FFF000]★★★ [Shiny] Jack T.
zombieSpecialBossShocker,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Raijin,[FFF000]★★★ [Shiny] Raijin,[FFF000]★★★ [Shiny] Raijin
zombieSpecialBossToxic,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Patient 0,[FFF000]★★★ [Shiny] Paciente 0,[FFF000]★★★ [Shiny] Paciente 0
zombieSpecialBossEarth,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Gaia,[FFF000]★★★ [Shiny] Gaia,[FFF000]★★★ [Shiny] Gaia
zombieSpecialBossAdminHF,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Angry Admin,[FFF000]★★★ [Shiny] Admin Enojado,[FFF000]★★★ [Shiny] Admin Enojado
zombieSpecialBossAvatarHF,entityclasses,entityclasses,,,[FFF000]★★★ [Shiny] Avatar,[FFF000]★★★ [Shiny] Avatar,[FFF000]★★★ [Shiny] Avatar

SirenLootContainerS,entityclasses,entityclasses,,,★ Shiny Siren Head Loot ★
BossJuggerLootContainerS,entityclasses,entityclasses,,,★ Shiny Juggernaut Loot ★
zombieBossZombieKnightLootContainerS,entityclasses,entityclasses,,,★ Shiny Old Knight Loot ★,★ Shiny Antiguo caballero Loot ★,★ Shiny Antiguo caballero Loot ★
MineralLootContainerS,entityclasses,entityclasses,,,★ Shiny Nightmer Spider Loot ★,★ Shiny Araña Nightmer Loot ★,★ Shiny Araña Nightmer Loot ★
zombieBossMummyLootContainerS,entityclasses,entityclasses,,,★ Shiny Ancestral Mummy Loot ★,★ Shiny Momia Ancestral Loot ★,★ Shiny Momia Ancestral Loot ★
BossSoldierLootContainerS,entityclasses,,,★ Shiny Old General Loot ★,★ Shiny Viejo General Loot ★,★ Shiny Viejo General Loot ★
zombieBossCirujanoLootContainerS,entityclasses,entityclasses,,,★ Shiny Surgeon Loot ★,★ Shiny Cirujano Loot ★,★ Shiny Cirujano Loot ★
zombieBossSpartanLootContainerS,entityclasses,entityclasses,,,★ Shiny Spartan Loot ★,★ Shiny Espartano Loot ★,★ Shiny Espartano Loot ★
zombieBossMortevodaLootContainerS,entityclasses,entityclasses,,,★ Shiny Vodjanoj Loot ★,★ Shiny Vodjanoj Loot ★,★ Shiny Vodjanoj Loot ★
zombieBossInfernalLootContainerS,entityclasses,entityclasses,,,★ Shiny Berial Loot ★,★ Shiny Berial Loot ★,★ Shiny Berial Loot ★
zombieBossHoarfrostLootContainerS,entityclasses,entityclasses,,,★ Shiny Jack T. Loot ★,★ Shiny Jack T. Loot ★,★ Shiny Jack T. Loot ★
zombieBossShockerLootContainerS,entityclasses,entityclasses,,,★ Shiny Raijin Loot ★,★ Shiny Raijin Loot ★,★ Shiny Raijin Loot ★
zombieBossToxicLootContainerS,entityclasses,entityclasses,,,★ Shiny Patient 0 Loot ★,★ Shiny Paciente 0 Loot ★,★ Shiny Paciente 0 Loot ★
zombieBossEarthLootContainerS,entityclasses,entityclasses,,,★ Shiny Gaia Loot ★,★ Shiny Gaia Loot ★,★ Shiny Gaia Loot ★
BossHFLootContainerS,entityclasses,entityclasses,,,★ Shiny Angry Admin Loot ★,★ Shiny Admin Enojado Loot ★,★ Shiny Admin Enojado Loot ★

gladcall,buffs,buffs,,,Kneel before me!,Arrodíllate ante mi!,Arrodíllate ante mi
gladnamecall,buffs,buffs,,,Overwhelming presence,Presencia abrumadora,Presencia abrumadora
gladdesc,buffs,buffs,,,You feel a powerful presence around you that is affecting your consciousness,"Sientes una poderosa precencia a tu alrredor que esta afectando tu conciencia","Sientes una poderosa precencia a tu alrredor que esta afectando tu conciencia"
mummycall,buffs,buffs,,,Come to me!,Ven a mi!,Ven a mi!
mummynamecall,buffs,buffs,,,Voice in your head,Voz en tu cabeza,Voz en tu cabeza
